Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annua
1990,0,0,0,0,1,1,0,2,0,2,1,1,8
1991,0,0,0,1,1,0,1,1,1,2,1,0,8
1992,0,0,0,0,1,1,1,0,0,2,3,0,8
1993,0,0,0,0,0,1,0,0,0,0,1,2,4
1994,0,0,1,1,0,0,0,1,0,2,1,0,6
1995,0,0,0,0,3,0,0,0,2,0,2,0,7
1996,0,0,0,0,1,1,0,0,0,2,2,0,6
1997,0,0,0,0,1,1,1,3,1,0,1,0,8
1998,0,0,0,0,1,1,0,0,0,2,2,0,6
1999,0,1,0,0,0,1,1,1,0,2,0,1,7
2000,0,0,1,0,0,0,0,1,0,2,1,1,6
2001,0,0,0,0,0,1,0,0,0,1,1,0,3
2002,0,0,0,0,1,0,0,0,0,1,2,1,5
2003,0,0,0,0,1,0,1,1,0,2,0,1,6
2004,0,0,0,0,1,1,0,0,0,1,0,0,3
2005,1,0,0,0,0,0,1,0,2,1,2,2,9
2006,1,0,0,1,0,0,1,4,2,1,0,0,10
2007,0,0,0,0,2,2,1,1,1,1,1,0,9
2008,0,0,0,1,0,1,0,1,1,1,1,1,7
2009,0,0,0,1,1,0,1,0,1,0,0,1,5
2010,0,0,0,0,1,0,0,0,0,3,1,1,6
2011,0,1,0,0,0,1,0,0,1,1,0,1,5
2012,0,0,0,0,0,0,0,0,0,2,1,0,3
2013,0,0,0,0,2,0,1,0,0,1,3,1,8
2014,1,0,0,0,1,0,0,0,0,1,1,0,4
2015,0,0,0,0,0,1,1,0,0,0,1,0,3
2016,0,0,0,0,1,0,0,1,0,1,2,1,6
2017,0,0,0,1,1,1,1,0,0,1,2,1,8
2018,0,0,0,0,1,0,1,0,2,1,1,1,7
2019,1,0,0,1,0,0,0,1,0,0,1,0,4
2020,0,0,0,0,1,0,0,0,0,2,2,0,5
2021,0,0,0,1,1,0,0,0,2,0,2,1,7
2022,0,1,2,0,1,0,0,2,0,1,1,2,10
2023,1,0,0,0,1,0,0,1,0,1,1,1,6
Total,5,3,4,8,26,15,13,21,16,40,41,21,213
